"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB51 9 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2017"	"number"	29	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2017"	"number"	33	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2017"	"number"	35	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2017"	"number"	37	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2017"	"number"	37	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2017"	"number"	35	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2017"	"number"	35	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2017"	"number"	33	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2017"	"number"	28	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2017"	"number"	28	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2017"	"number"	29	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2017"	"number"	35	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2018"	"number"	33	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2018"	"number"	34	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2018"	"number"	30	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2018"	"number"	28	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2018"	"number"	33	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2018"	"number"	31	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2018"	"number"	30	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2018"	"number"	30	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2018"	"number"	28	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2018"	"number"	27	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2018"	"number"	26	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2018"	"number"	23	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2019"	"number"	23	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2019"	"number"	21	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2019"	"number"	18	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2019"	"number"	19	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2019"	"number"	14	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2019"	"number"	15	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2019"	"number"	11	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2019"	"number"	10	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2019"	"number"	8	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2019"	"number"	9	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2019"	"number"	10	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2019"	"number"	11	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2020"	"number"	13	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2020"	"number"	12	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2020"	"number"	10	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2020"	"number"	17	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2020"	"number"	13	""
"Total"	"Total claimants"	"ps:AB52 6 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB99 8 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 4 1 - Banff"	"September 2019"	"rate"		"-"
